matrix_id,matrix_yr,axis_1_value,axis_2_value,new_cell_value,matrix_name,cell_key,current_value,delta
221,2026,ABN,18,0.0,RES_depre_matrix,ABN | 18,5.0,-5.0
221,2026,ABN,20,0.0,RES_depre_matrix,ABN | 20,7.0,-7.0
221,2026,ABN,24,0.0,RES_depre_matrix,ABN | 24,8.0,-8.0
221,2026,ABN,27,0.0,RES_depre_matrix,ABN | 27,10.0,-10.0
221,2026,ABN,30,1.0,RES_depre_matrix,ABN | 30,12.0,-11.0
221,2026,ABN,35,2.0,RES_depre_matrix,ABN | 35,15.0,-13.0
221,2026,ABN,38,3.0,RES_depre_matrix,ABN | 38,16.0,-13.0
221,2026,ABN,40,4.0,RES_depre_matrix,ABN | 40,18.0,-14.0
221,2026,ABN,45,6.0,RES_depre_matrix,ABN | 45,20.0,-14.0
221,2026,ABN,50,7.0,RES_depre_matrix,ABN | 50,22.0,-15.0
221,2026,ABN,60,10.0,RES_depre_matrix,ABN | 60,25.0,-15.0
221,2026,ABN,70,13.0,RES_depre_matrix,ABN | 70,30.0,-17.0
221,2026,ABN,75,15.0,RES_depre_matrix,ABN | 75,35.0,-20.0
221,2026,ABN,999,15.0,RES_depre_matrix,ABN | 999,40.0,-25.0
221,2026,BLN,0,12.0,RES_depre_matrix,BLN | 0,4.0,8.0
221,2026,BLN,10,15.0,RES_depre_matrix,BLN | 10,10.0,5.0
221,2026,BLN,20,18.0,RES_depre_matrix,BLN | 20,25.0,-7.0
221,2026,BLN,24,19.0,RES_depre_matrix,BLN | 24,30.0,-11.0
221,2026,BLN,27,19.0,RES_depre_matrix,BLN | 27,35.0,-16.0
221,2026,BLN,30,20.0,RES_depre_matrix,BLN | 30,37.0,-17.0
221,2026,BLN,35,22.0,RES_depre_matrix,BLN | 35,40.0,-18.0
221,2026,BLN,38,22.0,RES_depre_matrix,BLN | 38,42.0,-20.0
221,2026,BLN,40,23.0,RES_depre_matrix,BLN | 40,45.0,-22.0
221,2026,BLN,45,24.0,RES_depre_matrix,BLN | 45,50.0,-26.0
221,2026,BLN,5,13.0,RES_depre_matrix,BLN | 5,5.0,8.0
221,2026,BLN,50,26.0,RES_depre_matrix,BLN | 50,55.0,-29.0
221,2026,BLN,60,28.0,RES_depre_matrix,BLN | 60,55.0,-27.0
221,2026,BLN,70,30.0,RES_depre_matrix,BLN | 70,60.0,-30.0
221,2026,BLN,75,32.0,RES_depre_matrix,BLN | 75,65.0,-33.0
221,2026,BLN,999,32.0,RES_depre_matrix,BLN | 999,65.0,-33.0
221,2026,EXE,30,0.0,RES_depre_matrix,EXE | 30,5.0,-5.0
221,2026,EXE,35,0.0,RES_depre_matrix,EXE | 35,5.0,-5.0
221,2026,EXE,38,0.0,RES_depre_matrix,EXE | 38,10.0,-10.0
221,2026,EXE,40,0.0,RES_depre_matrix,EXE | 40,10.0,-10.0
221,2026,EXE,45,0.0,RES_depre_matrix,EXE | 45,12.0,-12.0
221,2026,EXE,50,0.0,RES_depre_matrix,EXE | 50,15.0,-15.0
221,2026,EXE,60,0.0,RES_depre_matrix,EXE | 60,18.0,-18.0
221,2026,EXE,70,0.0,RES_depre_matrix,EXE | 70,21.0,-21.0
221,2026,EXE,75,1.0,RES_depre_matrix,EXE | 75,25.0,-24.0
221,2026,EXE,999,1.0,RES_depre_matrix,EXE | 999,25.0,-24.0
221,2026,NML,20,7.0,RES_depre_matrix,NML | 20,12.0,-5.0
221,2026,NML,24,8.0,RES_depre_matrix,NML | 24,15.0,-7.0
221,2026,NML,27,9.0,RES_depre_matrix,NML | 27,17.0,-8.0
221,2026,NML,30,10.0,RES_depre_matrix,NML | 30,19.0,-9.0
221,2026,NML,35,11.0,RES_depre_matrix,NML | 35,21.0,-10.0
221,2026,NML,38,12.0,RES_depre_matrix,NML | 38,23.0,-11.0
221,2026,NML,40,13.0,RES_depre_matrix,NML | 40,25.0,-12.0
221,2026,NML,45,14.0,RES_depre_matrix,NML | 45,27.0,-13.0
221,2026,NML,50,16.0,RES_depre_matrix,NML | 50,30.0,-14.0
221,2026,NML,60,19.0,RES_depre_matrix,NML | 60,35.0,-16.0
221,2026,NML,70,21.0,RES_depre_matrix,NML | 70,40.0,-19.0
221,2026,NML,75,23.0,RES_depre_matrix,NML | 75,45.0,-22.0
221,2026,NML,999,23.0,RES_depre_matrix,NML | 999,50.0,-27.0
221,2026,POOR,0,22.0,RES_depre_matrix,POOR | 0,10.0,12.0
221,2026,POOR,10,25.0,RES_depre_matrix,POOR | 10,17.0,8.0
221,2026,POOR,12,25.0,RES_depre_matrix,POOR | 12,18.0,7.0
221,2026,POOR,15,26.0,RES_depre_matrix,POOR | 15,20.0,6.0
