year,n,sale_min,sale_max,median_ratio,mean_ratio
2016,228,20000.0,140000.0,1.875,1.9031140350877194
2016,214,141000.0,168700.0,1.88,1.8613551401869157
2016,221,168835.0,188000.0,1.85,1.86158371040724
2016,228,188316.0,210000.0,1.81,1.7942543859649123
2016,210,210196.0,235000.0,1.77,1.7455238095238095
2016,224,235500.0,260000.0,1.71,1.6913392857142857
2016,216,261000.0,290337.0,1.69,1.6543055555555555
2016,221,290500.0,337000.0,1.69,1.6848868778280544
2016,219,337324.0,397000.0,1.6,1.6083561643835618
2016,220,398000.0,6525000.0,1.51,1.4715909090909092
