"Photo","Closing Date","Price","Status","Address","Year Built","Sold Price","Levels","Finished SQFT","Below Grade SQFT","Number of Acres","Bedrooms","Total Baths","Garage Capacity","# of 1/2 Baths","Total SQFT","# of Full Baths","# of 3/4 Baths","Contract Date","Days On Market","How Sold","Price Per Sqft","City","County","MLS #","Asking Price","Lot Sq Ft","Neighborhood","Subdivision","Lot Dimensions","Sold Price Per SQFT","Cumulative DOM","Class","Distressed Property","Directions","Days On MLS","Ever Occupied","Excluded Buyer Y/N","FIPS Code","Garage Dimensions","General Date","Geocode Quality","HOA/Condo Fees","Headline","HUD","HotSheet Date","IMAPP Address","IDX Include","Irrigation Assmt","Latitude","PACMLS Supra LockBox","Listing Type","LID Amount Owed","Longitude","Listing Date","Make/Model","New","Proposed New Const. End Date","New Construction (Y/N)","Proposed New Const. Start Date","Off Market Date","Original Price","Park Name","Price Date","Property Type","Public Remarks","Bank-Owned/REO","Rules Y/N","Sale/Rent","Sale Includes","School District","Serial #/VIN","Space Rent","Status Date","State","Tax ID","Special Tax Desig. (Y/N)","Tax Parcel #","Tax Year","Tax Open Spaces","VOW AVM","VOW Address","Zoning Type","Zip","VOW Include","VOW Comment","Video Tour","Virtual Tour","Financing Remarks","Lease Option (Y/N)","Lock Box Serial#","Occupant","Days Under Contract","Basement","Auction","Builder Name","Application Y/N","Associated Document Count","Annual Taxes","Agent Conf. Remarks","Comments / Concessions","1031 Exchange (Y/N)","Percentage of Finished Below-Grade SQFT","Agent Hit Count","Utility Room Size","Utility Room Location","Use BrokerBay","Update Date","Unit/Space #","Unique Property Identifier","Sellers Title Ins. Co","Seller Concessions","RESO Universal Property Identifier","Picture Count","Owner Phone","Owner","Originating MLS","Original MLS ID","Occupant Phone","Lock Box Location","Living Room Size","Living Room Location","Kitchen Size","Kitchen Location","Expiration Date","Dining Room Size","Family Room Location","Family Room Size","Floor Plans Count","Floor Plans Update Date","Input Date","Insp/Feasibility Duration","Bedroom 6 Size","Bedroom 6 Location","Bedroom 5 Size","Bump Period","Client Hit Count","Closing Agent","Cross Street","Den/Study Location","Den/Study Size","Dining Room Location","Bedroom 1 Location","Appraiser","Bedroom 1 Size","Bedroom 2 Location","Bedroom 2 Size","Bedroom 3 Location","Bedroom 3 Size","Bedroom 4 Location","Bedroom 4 Size","Bedroom 5 Location"
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/275213/0/120/90/780ce83de682f1643101ce09a486aac4/2/122fe0f41da5a58a3139672453c98789/275213-187f9bd8-7a32-43aa-9c56-345563d57c08.JPG","8/16/2024","$995","Sold","1614 W 14th Ave","1975","$995","1 Story","750","0","0.3200","2","1","None","0","750","1","0","8/15/2024","122","Lease","$1.33","Kennewick","Benton","275213","$995",,,"STARDUST HEIGHT",,"$1.33","122","Residential-Single Family",,"Take a right onto 14th Ave, from S Olympia St, follow until 4-Plex is on right hand side.","122","Yes",,,,"8/15/2024",,,"2 Bed/ 1 bath Upstairs Unit in Kennewick 4-Plex","No","8/19/2024",,"Y",,,"No","Lease",,,"4/15/2024",,"Existing Construction (Not New)",,"No",,,"$1,295",,"7/31/2024","Condo","MLS# 275213 Applications and Viewing Requests accepted from OUR WEBSITE ONLY2 bed, 1 bath, 750 sqft upstairs apartment in a 4-plexInterior:* Hard surface flooring through out apartment* Lots of natural light* Main living space is large and open* Kitchen has all appliances including dishwasher, good amount of cabinet space* 2 storage closets in the hall/entry* 2 good sized bedrooms, 1 bathroom* Wall AC and baseboard heaters* Washer/dryer hookups in private locked storage room outside the apartmentExterior:* Shared common areas* 2 assigned parking spacesAdditional Lease Information:1 year lease termWater/Sewer/Garbage included in rentNo PetsDeposit & Fees Include$1,101 Refundable Deposit$194 non-refundable Inspection Fee","No",,"For Rent",,,,,"8/19/2024","WA",,,"111891040001006","2023",,"Yes","Yes","Multi-Family RE","99337","Yes","Yes",,,,,,"None",,"No","No",,,"0","$2,804.74","Contact Cameron at Kenmore Team Property Management for lockbox information and code.  Email: Cameron@Kenmoreteam.com Phone Number: (509)987-7074",,,,,,,,"8/19/2024",,,,,,"8",,"Jody Belmont","Tri City",,,,,,,,,,,,"0",,"4/15/2024 11:26 AM",,,,,,,,"S Olympia St",,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/274861/0/120/90/bb43cca1652d37e88b6b3907af7d2c10/2/b8039749f1bb246b5e825646dca980a8/274861-c135570e-2ed4-4269-a029-b14f6fc029e4.JPG","4/15/2024","$995","Sold","14 W 14th","1957","$995","1 Story","600","0","0.0700","1","1","None","0","600","1","0","4/15/2024","12","Lease","$1.66","Kennewick","Benton","274861","$995",,,"MCKNIGHTS PLAT",,"$1.66","12","Residential-Single Family",,"Washington to 14th","12","Yes",,,,"4/15/2024",,,,"No","4/15/2024",,"Y",,,"No","Exclusive Right",,,"4/3/2024",,"Existing Construction (Not New)",,"No",,,"$995",,"4/3/2024","Site Built-Owned Lot",,"No",,"For Rent",,,,,"4/15/2024","WA",,,"112891040000015","2024",,"Yes","Yes","Residential","99337","Yes","Yes",,,,,,"yes",,"No","No",,,"0","tbd",,,,,,,,,"4/15/2024",,,,,,"6",,"Jay Irwin","Tri City",,,,,,,,,,,,"0",,"4/3/2024 7:37 AM",,,,,,,,,,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/277977/0/120/90/416a973e9c32cc516b2044687b2e79e0/2/6fc9ce1bc94158b62de93566b3a1cf37/277977-ab073403-764d-45ae-86b0-1d87ff382998.JPG","8/20/2024","$1,000","Sold","11 W 2nd","1996","$1,000","1 Story","1,109","0","0.1600","2","2","None","0","1,109","2","0","8/20/2024","17","Other","$0.90","Kennewick","Benton","277977","$1,600",,,"KENNEWICK GARDENS",,"$0.90","59","Residential-Single Family",,"Washington to 2nd ave","17","Yes",,,,"8/20/2024",,,,"No","8/20/2024",,"Y",,,"No","Exclusive Right",,,"8/3/2024",,"Existing Construction (Not New)",,"No",,,"$1,800",,"8/20/2024","Manufactured-Owned Lot","MLS# 277977","No",,"For Rent",,,,,"8/20/2024","WA",,,"101891050012005","2024",,"Yes","Yes","Resid Mob Home","99336","Yes","Yes",,,,,,"vacant",,"No","No",,,"0","tbd",,,,,,,,,"8/20/2024",,,,,,"12",,"Michaelle Dokka","Tri City",,,,,,,,,,,,"0",,"8/3/2024 1:29 PM",,,,,,,,,,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/282254/0/120/90/7f5868af671e37b17081abd57c0ea6e8/2/588d401190168f4abaca231f3e126433/282254-a9bc4ecd-d174-4cdc-b9e8-e3655114c12f.JPG","3/28/2025","$1,075","Sold","16 W 14th","1957","$1,075","1 Story","600","0","0.0700","1","1","None","0","600","1","0","3/28/2025","18","Lease","$1.79","Kennewick","Benton","282254","$1,075",,,"MCKNIGHTS PLAT",,"$1.79","18","Residential-Single Family",,"Washington to 14th","18","Yes",,,,"3/28/2025",,,,"No","3/28/2025",,"Y",,,"No","Exclusive Right",,,"3/10/2025",,"Existing Construction (Not New)",,"No",,,"$1,075",,"3/10/2025","Site Built-Owned Lot",,"No",,"For Rent",,,,,"3/28/2025","WA",,,"112891040000015","2025",,"Yes","Yes","Residential","99337","Yes","Yes",,,,,,"yes",,"No","No",,,"0","tbd",,,,,,,,,"3/28/2025",,,,,,"3",,"Jay Irwin","Tri City",,,,,,,,,,,,"0",,"3/10/2025 11:05 AM",,,,,,,,,,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/274219/0/120/90/a528b6d07f95a8c02c2e1a6796321424/2/1110d33bb3b694a8b1d457e6735ff233/274219-e6ec4665-25e2-484b-938c-de9eb9305f48.JPG","3/20/2024","$1,100","Sold","1015 E 6th","1930","$1,100","1 Story","578","0","0.1000","1","1","None","0","578","1","0","3/20/2024","15","Lease","$1.90","Kennewick","Benton","274219","$1,100",,,"KIN-SLEY ADDN",,"$1.90","15","Residential-Single Family",,"10th to Gum street, left and right on 6th avenue and left on Kingwood and left on 4th ave and left on S. Juniper place","15","Yes",,,,"3/20/2024",,,,"No","3/20/2024",,"Y",,,"No","Exclusive Right",,,"3/5/2024",,"Existing Construction (Not New)",,"No",,,"$1,100",,"3/5/2024","Site Built-Owned Lot",,"No",,"For Rent",,,,,"3/20/2024","WA",,,"106804110000016","2024",,"Yes","Yes","Residential","99336","Yes","Yes",,,,,,"vacant",,"No","No",,,"0","tbd",,,,,,,,,"3/20/2024",,,,,,"8",,"Jay Irwin","Tri City",,,,,,,,,,,,"0",,"3/5/2024 9:38 AM",,,,,,,,,,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/278334/0/120/90/5a138e797e4011cabde90c77502fa368/2/391ee46e73218e53724d511e17a6e082/278334-32649FB9-82E0-4BA4-AE0A-293C2C9BA411.JPG","9/1/2024","$1,100","Sold","1015 E 6th","1930","$1,100","1 Story","578","0","0.1000","1","1","None","0","578","1","0","9/1/2024","12","Lease","$1.90","Kennewick","Benton","278334","$1,200",,,"KIN-SLEY ADDN",,"$1.90","12","Residential-Single Family",,"10th to Gum street, left and right on 6th avenue and left on Kingwood and left on 4th ave and left on S. Juniper place","12","Yes",,,,"9/1/2024",,,,"No","9/19/2024",,"Y",,,"No","Exclusive Right",,,"8/20/2024",,"Existing Construction (Not New)",,"No",,,"$1,200",,"9/19/2024","Site Built-Owned Lot",,"No",,"For Rent",,,,,"9/19/2024","WA",,,"106804110000016","2024",,"Yes","Yes","Residential","99336","Yes","Yes",,,,,,"vacant",,"No","No",,,"0","tbd",,,,,,,,,"9/19/2024",,,,,,"8",,"Jay Irwin","Tri City",,,,,,,,,,,,"0",,"8/20/2024 6:54 AM",,,,,,,,,,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/274859/0/120/90/d15954337c2eb0dda2f04ac7fb465d2e/2/92a363f2d9f47ff09068c40a5a499351/274859-f57ea2f9-4230-464c-978c-4b5ee2c1ade8.JPG","4/4/2024","$1,150","Sold","107 Yost","1948","$1,150","1 Story","700","0","0.1716","2","1","None","0","700","1","0","4/4/2024","2","Lease","$1.64","Kennewick","Benton","274859","$1,150",,,"HINCKS PLT",,"$1.64","2","Residential-Single Family",,"Clearwater to Yost Street","1","Yes",,,,"4/4/2024",,,,"No","4/4/2024",,"Y",,,"No","Exclusive Right",,,"4/2/2024",,"Existing Construction (Not New)",,"No",,,"$1,150",,"4/3/2024","Site Built-Owned Lot",,"No",,"For Rent",,,,,"4/4/2024","WA",,,"1048910500000002","2024",,"Yes","Yes","Residential","99336","Yes","Yes",,,,,,"no",,"No","No",,,"0","tbd",,,,,,,,,"4/4/2024",,,,,,"9",,"Douglas Murri","Tri City",,,,,,,,,,,,"0",,"4/3/2024 7:08 AM",,,,,,,,,,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/278697/0/120/90/05c29981a4dcde1297aac52a4b9889b7/2/c3ebaf960f7e9dc2a6c19503a83cc372/278697-9886157B-2055-408C-833F-89B4366CFDA5.JPG","9/28/2024","$1,150","Sold","109 Yost","1948","$1,150","1 Story","700","0","0.1716","2","1","None","0","700","1","0","9/28/2024","23","Lease","$1.64","Kennewick","Benton","278697","$1,150",,,"HINCKS PLT",,"$1.64","23","Residential-Single Family",,"Clearwater to Yost Street","23","Yes",,,,"9/28/2024",,,,"No","9/28/2024",,"Y",,,"No","Exclusive Right",,,"9/5/2024",,"Existing Construction (Not New)",,"No",,,"$1,150",,"9/5/2024","Site Built-Owned Lot",,"No",,"For Rent",,,,,"9/28/2024","WA",,,"1048910500000002","2024",,"Yes","Yes","Residential","99336","Yes","Yes",,,,,,"no",,"No","No",,,"0","tbd",,,,,,,,,"9/28/2024",,,,,,"9",,"Douglas Murri","Tri City",,,,,,,,,,,,"0",,"9/5/2024 9:17 AM",,,,,,,,,,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/289654/0/120/90/2c53d13c6644fe418bf87966ccf658b4/2/3660dc266f30e8b4cafef1c7dc49b4b3/289654-71bf3089-2e41-4b38-933c-75012281014c.JPG",,"$1,175","Active","1707 W 7th Ave","1956",,"1 Story","920","0","0.2300","2","1","None","0","920","1","0",,"2",,"$1.28","Kennewick","Benton","289654","$1,175",,,"BLUE RIDGE",,,"2","Residential-Single Family",,"E. on 10th, L-Rainer, R- 7th","2","Yes",,,,"1/6/2026",,,"55+ Community Rental: 2 Bed/1 Bath","No","1/6/2026",,"Y",,,"No","Lease",,,"1/6/2026",,"Existing Construction (Not New)",,"No",,,"$1,175",,"1/6/2026","Site Built-Owned Lot","We do not accept 3rd party applications or viewing requests. *** RENT SPECIAL: first months rent FREE! *** ** 55+ community MUST BE 55 OR OLDER ** 2 bed, 1 bath unit in East Kennewick 4-plex, 920sqft. Interior: * Open main living space with plenty of natural light & big windows, * Tons of character, * Kitchen has an eat-at bar & a pantry, * 2 Beds & 1 full bath, * Large laundry/utility room with washer/dryer hookups. Exterior: * Off-street parking. Additional Lease Information: * 55+ community MUST BE 55 OR OLDER,  * 12 month lease term, * Water/Sewer/Garbage included, * No Pets.Deposit & Fees Include: $1,250 Refundable Deposit.","No",,"For Rent",,,,,"1/6/2026","WA",,,"102894170004022","2024",,"Yes","Yes","SINGLE FAMILY R","99336","Yes","Yes",,,,,,"Vacant",,"No","No",,,"0","$2,221.74","Contact Cameron at Kenmore Team Property Management for lockbox information and code. Email:Cameron@Kenmoreteam.com Phone Number: (509)987-7074",,,,,,,"No","1/6/2026","A",,,,,"9",,"Ask Agent","Tri City",,,,,,,,,,,,"0",,"1/6/2026 9:11 AM",,,,,,,,"W 6th Ave",,,,,,,,,,,,,
"https://cdnparap20.paragonrels.com/ParagonImages/Property/P2/PACMLS/287144/0/120/90/69ab8ca32237f6e58387827f69ffbe0b/2/fd42fb97ec932708ab8b5741c91f29b7/287144-97bf3d03-d08b-4305-8ccf-0b94586c377e.JPG",,"$1,195","Active","6818 W 1st Avenue","1977",,"1 Story","1,043","0","0.5200","2","1","None","0","1,043","1","0",,"127",,"$1.15","Kennewick","Benton","287144","$1,195",,,"COLUMBIA PL PH2",,,"178","Residential-Single Family",,"W Clearwater Ave, N Taft St, W 1st Ave","127","Yes",,,,"9/3/2025",,,"2 bedroom, 1 bath in Kennewick","No","10/30/2025",,"Y",,,"No","Lease",,,"9/3/2025",,"Existing Construction (Not New)",,"No",,,"$1,345",,"10/30/2025","Site Built-Owned Lot","MLS# 287144 We do not accept 3rd party applications or viewing requests.2 bed, 1 bath, 1043 sqft apartment in Kennewick*HALF OFF FIRST MONTHS RENT** Open main living space with balcony* Wood burning fireplace in the living room* Kitchen has ample storage and dining nook* Large windows throughout for lots of natural light* Primary bedroom has attached bath with separate vanity* 1 additional bedroomAdditional Lease Information:* No pets* 1 year lease* Water/sewer includedDeposit & Fees Include:$ 926 Refundable Deposit$ 179 Inspection Fee (non-refundable)$ 90 Non-Refundable Carpet Care Fee","No",,"For Rent",,,,,"9/3/2025","WA",,,"105891090002006","2024",,"Yes","Yes","SINGLE FAMILY R","99336","Yes","Yes",,,,,,"Vacant",,"No","No",,,"0","$8,963.71","Contact Cameron at Kenmore Team Property Management for lockbox information and code. Email:Cameron@Kenmoreteam.com Phone Number: (509)987-7074",,,,,,,"No","11/24/2025","B",,,,,"7",,"Acacio Domar","Tri City",,,,,,,,,,,,"0",,"9/3/2025 1:30 PM",,,,,,,,"W Clearwater Ave",,,,,,,,,,,,,
