subset,severity,tilt_beta_lnprice,tilt_pvalue,n_sales,median_price,median_ratio,COD,PRD,r2,cond_unique,cond_dom_share,age_iqr,sqft_iqr,price_iqr,top_neighborhoods,top_subdivisions,focus,hypothesis,property_use_cd,prop_type_cd,class_cd,class_subclass_cd,recommended_matrix_ids,recommended_rationale
211,Severe,-0.8088489747451949,0.0096392999888911,20,594950.0,1.01969116267434,7.984523489771853,0.9987834823433308,0.5618260695806111,2,0.95,5.25,677.75,164875.0,13172 (4); 15130 (3); 13182 (2),WHITE BLUFFS PHASE 4 (2); Brookshire Estates (2); HYDE PARK PHASE 3 (1),"Finish/remodel proxies, Segmentation review",Condition mostly one code -> condition proxy may be too coarse; unobserved finish/remodel likely.,11.0,R,30.0,,"1598, 3249, 3251, 3253, 3260, 3262, 3263, 3265, 3266, 3267, 3296, 3300, 3320, 3789, 3790, 3791, 3792, 3793, 3794, 3805, 3806, 3807, 3808, 3809, 3810, 3811, 3812, 3813, 3814, 3815, 3816, 3817, 3818, 3823","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope). Subset shows heterogeneity; review neighborhood/plan splits and market-area definitions. Large size spread; verify basement/attic/attachment coding and multipliers. Higher price stratum; confirm roof/wall number schedules and premium capture. Higher-value/size mix can mask accessory structures; confirm outbuilding handling."
109,Severe,-0.6901008658867789,9.282589108584895e-05,34,377500.0,0.9108451143451144,6.589658111703725,1.0066270014663232,0.4371889077615415,2,0.8823529411764706,3.0,700.75,76250.0,15060 (15); 11071 (3); 11040 (3),HAYDEN VILLAGE WEST PHASE II (3); QUAIL RUN DIV #2 (2); HAYDEN VILLAGE WEST PHASE VI (2),Finish/remodel proxies,Condition mostly one code -> condition proxy may be too coarse; unobserved finish/remodel likely.,11.0,R,25.0,,"1598, 3249, 3251, 3253, 3260, 3262, 3263, 3265, 3266, 3267, 3296, 3300, 3789, 3790, 3791, 3792, 3793, 3794, 3807, 3808, 3809, 3810, 3811, 3812, 3813, 3814, 3823","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope). Large size spread; verify basement/attic/attachment coding and multipliers."
146,Severe,-0.6102569227324497,0.0191545355013571,16,435250.0,0.9112533333333336,10.009088878620236,1.016869109704169,0.5688374194670738,4,0.5625,5.25,268.5,109250.0,160003 (3); 160013 1 (2); 160010 901 (2),MURRAY PLAT (2); BEVERLY HEIGHTS #1 (2); MYRTLEWOOD ADDITION (1),Segmentation + outlier/filters,Likely mix of unobserved quality and segmentation heterogeneity; prioritize feature proxies + segment split review.,11.0,R,25.0,,"3789, 3790, 3791, 3792, 3793, 3794, 3823",Base-structure numbers + depreciation are the primary levers for within-subset tilt.
110,High,-0.5520087948205052,1.788971580569369e-09,63,435000.0,0.956165081521739,5.7942297020226725,1.0028182421188292,0.4773645690271367,2,0.9682539682539683,5.0,559.5,123550.0,15060 (11); 12081 (6); 160015 (4),Desert Glade (3); Pheasant Run North Phase 1 & 2 (2); HIGLANDS PLAT D LTS 1-8 & 16-20 & PTN OF TT A (2),Finish/remodel proxies,Condition mostly one code -> condition proxy may be too coarse; unobserved finish/remodel likely.,11.0,R,30.0,30 *,"1598, 3262, 3267, 3296, 3300, 3789, 3790, 3791, 3792, 3793, 3794, 3823","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope)."
107,High,-0.5272309587737016,5.519958761531357e-08,50,382450.0,0.906215564962553,7.664621213447672,0.9999906869869462,0.6308928202255677,3,0.62,2.0,515.75,68775.0,12091 (12); 160004 (4); 12051 (4),COLUMBIA RANCHO (9); WASHINGTON PARK #3 (2); ORCHARD HILLS #4 (2),"Finish/remodel proxies, Segmentation review",Likely mix of unobserved quality and segmentation heterogeneity; prioritize feature proxies + segment split review.,11.0,R,25.0,25 *,"1598, 3262, 3267, 3296, 3300, 3789, 3790, 3791, 3792, 3793, 3794, 3823","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope). Subset shows heterogeneity; review neighborhood/plan splits and market-area definitions."
532,High,-0.5075046084913302,3.302751645396076e-07,42,394994.5,0.9804730854301444,3.354624253792464,1.0013550644647606,0.6092597062636818,1,1.0,1.0,586.0,27290.5,15013 (20); 15040 (6); 13143 (5),RANCHLAND TOWNHOMES (20); CRIMSON HILLS (5); WESTERN RIDGE PHASE 2 (5),Finish/remodel proxies,Condition not differentiating (single condition code) -> finish/remodel intensity likely unobserved.,14.0,R,25.0,,"1598, 3262, 3267, 3296, 3300, 3789, 3790, 3791, 3792, 3793, 3794, 3823, 3846","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope). Manufactured/alt subclass signal; ensure MH depreciation track is correct where applicable."
105,High,-0.4837285540367696,0.001060375884332,46,306950.0,0.894939805327869,10.588345125491164,1.0033770675058769,0.4227024906514772,4,0.5217391304347826,4.0,478.75,48375.0,12031 (10); 11100 (5); 12041 (5),COLUMBIA HEIGHTS ADDITION (7); TRI-CITY HEIGHTS #1 (3); VISTA HOMES #3 (3),Segmentation + outlier/filters,Likely mix of unobserved quality and segmentation heterogeneity; prioritize feature proxies + segment split review.,11.0,R,25.0,,"3789, 3790, 3791, 3792, 3793, 3794, 3823",Base-structure numbers + depreciation are the primary levers for within-subset tilt.
209,High,-0.4686233088997596,0.0002463922207946,26,519000.0,0.9125062656641604,6.498612561844541,1.0033786381026233,0.55672830067529,3,0.7692307692307693,4.75,565.5,175125.0,15090 (3); 15060 (3); 160013 2 (2),IMPRESSIONS AT MEADOW SPRINGS (2); COUNTRY RIDGE (2); MEADOW VIEW ADDITION (1),Segmentation review,Likely mix of unobserved quality and segmentation heterogeneity; prioritize feature proxies + segment split review.,11.0,R,30.0,25 *,"3789, 3790, 3791, 3792, 3793, 3794, 3805, 3806, 3823",Base-structure numbers + depreciation are the primary levers for within-subset tilt. Subset shows heterogeneity; review neighborhood/plan splits and market-area definitions. Higher price stratum; confirm roof/wall number schedules and premium capture.
111,High,-0.466267115022988,8.384775402767609e-10,53,484900.0,0.945692307692308,5.942042072704723,1.008885824551878,0.5421710915199414,1,1.0,6.0,630.0,190000.0,13171 (6); 160014 1 (5); 13101 (5),Badger Mountain Village (3); Riverview Pointe (2); Reata Heights (2),"Finish/remodel proxies, Segmentation review",Condition not differentiating (single condition code) -> finish/remodel intensity likely unobserved.,11.0,R,30.0,25 *,"1598, 3262, 3267, 3296, 3300, 3320, 3789, 3790, 3791, 3792, 3793, 3794, 3815, 3816, 3817, 3818, 3823","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope). Subset shows heterogeneity; review neighborhood/plan splits and market-area definitions. Higher-value/size mix can mask accessory structures; confirm outbuilding handling."
212,High,-0.4527160731641267,0.0003880882560424,37,563514.0,0.9662,4.23830330238018,1.0080621494282398,0.3288437614579732,1,1.0,2.0,746.0,157000.0,13012 (7); 15010 (7); 13172 (4),THE HEIGHTS AT RED MOUNTAIN RANCH PHASE 4 (5); WEST VINEYARD PHASE 2 (4); SHERMAN HEIGHTS PHASE 2 (3),"Finish/remodel proxies, Segmentation review",Condition not differentiating (single condition code) -> finish/remodel intensity likely unobserved.,11.0,R,35.0,,"1598, 3249, 3251, 3253, 3260, 3262, 3263, 3265, 3266, 3267, 3296, 3300, 3320, 3789, 3790, 3791, 3792, 3793, 3794, 3805, 3806, 3807, 3808, 3809, 3810, 3811, 3812, 3813, 3814, 3815, 3816, 3817, 3818, 3823, 3846","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope). Subset shows heterogeneity; review neighborhood/plan splits and market-area definitions. Large size spread; verify basement/attic/attachment coding and multipliers. Higher price stratum; confirm roof/wall number schedules and premium capture. Manufactured/alt subclass signal; ensure MH depreciation track is correct where applicable. Higher-value/size mix can mask accessory structures; confirm outbuilding handling."
210,High,-0.425992098035146,0.0079675872083066,29,482000.0,0.954229885057471,5.447228782709005,0.9986537207933568,0.3128880992953312,2,0.896551724137931,4.0,463.0,96250.0,12082 (5); 160014 2 (4); 13102 (4),Meadow Parke Estates (2); GAGE GALAXY (1); UNION WEST #2 PH 2A (1),Finish/remodel proxies,Condition mostly one code -> condition proxy may be too coarse; unobserved finish/remodel likely.,11.0,R,25.0,30 *,"1598, 3262, 3267, 3296, 3300, 3789, 3790, 3791, 3792, 3793, 3794, 3823","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope)."
145,High,-0.4135648599794306,0.0065929908818116,23,350000.0,0.942787878787879,6.729588550028757,1.0117627877466864,0.4632069741565401,3,0.5217391304347826,1.5,445.5,95000.0,12031 (6); 160004 900 (5); 160004 (4),RICHLAND VILLAGE ADDITION (9); FERN HEIGHTS (2); HILLCREST SUBDIVISION (2),"Finish/remodel proxies, Segmentation review",Likely mix of unobserved quality and segmentation heterogeneity; prioritize feature proxies + segment split review.,11.0,R,30.0,,"1598, 3262, 3267, 3296, 3300, 3789, 3790, 3791, 3792, 3793, 3794, 3823","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope). Subset shows heterogeneity; review neighborhood/plan splits and market-area definitions."
247,Moderate,-0.2933700839360863,0.0374177955508938,32,431500.0,0.88805459203784,5.340303636286241,1.0008740022443836,0.2150998664114264,3,0.4375,3.0,432.0,76500.0,160014 2 (4); 11040 (4); 11122 (2),KENNEWICK PARK (4); CANYON TERRACE (3); JOHN-ANN ADDITION (2),"Finish/remodel proxies, Segmentation review",Likely mix of unobserved quality and segmentation heterogeneity; prioritize feature proxies + segment split review.,11.0,R,30.0,30 *,"1598, 3262, 3267, 3296, 3300, 3789, 3790, 3791, 3792, 3793, 3794, 3823","Base-structure numbers + depreciation are the primary levers for within-subset tilt. Condition proxy is coarse; reinforce priced finish/mechanical proxies (fixture count, HVAC, envelope). Subset shows heterogeneity; review neighborhood/plan splits and market-area definitions."
