year,tdcode,district,assessed_value,levy_rate_per_1000,district_levy,county_cd
2010,30000000,State School,13283351266,2.00574,26642974,30
2010,30100000,County General,13372871942,1.34329,17963598,30
2010,30200100,County Road,2893855941,1.72119,4980869,30
2010,30200200,County Road Diverted,2893855941,0.15832,458164,30
2010,30300100,Benton City,103015749,1.2954,133447,30
2010,30300200,Kennewick,4682066943,2.16843,10152724,30
2010,30300242,Kennewick Library Bond,4648658748,0.08497,395000,30
2010,30300300,Prosser,411141272,2.87522,1182123,30
2010,30300342,Prosser Grant Ave Fire Stn Bond,408107800,0.38838,158500,30
2010,30300400,Richland,4536131221,2.70789,12283328,30
2010,30300440,Richland - 3 Bonds,4513573514,0.43202,1949949,30
2010,30300500,West Richland,746660816,1.60946,1201718,30
2010,30401710,Kennewick #17 M&O,5780611963,3.28685,19000000,30
2010,30401730,Kennewick #17 Bond,5780611963,1.67647,9691000,30
2010,30405010,Paterson #50 M&O,344051608,0.39707,136612,30
2010,30405030,Paterson #50 Bond,344051608,0.47667,164000,30
2010,30405210,Kiona-Benton #52 M&O,450527307,4.49412,2024722,30
2010,30405230,Kiona-Benton #52 Bond,450527307,1.36507,615000,30
2010,30405310,Finley #53 M&O,357592166,3.77525,1350000,30
2010,30405330,Finley #53 Bond,357592166,2.40218,859000,30
2010,30411610,Prosser #116 M&O,955825586,3.25552,3111707,30
2010,30411630,Prosser #116 Bond,955825586,1.4617,1397133,30
2010,30420010,Grandview #200 M&O,30787102,1.49749,46103,30
2010,30420030,Grandview #200 Bond,30787102,2.48039,76364,30
2010,30440010,Richland #400 M&O,5372343449,2.94769,15836000,30
2010,30440030,Richland #400 Bond,5372343449,1.37742,7400000,30
2010,30500000,Mid-Columbia Inter Co Library,7678938633,0.40141,3082439,30
2010,30600100,Hospital Dist. Prosser,1671152727,0.38152,637576,30
2010,30600200,Hospital Dist. Kennewick Gen.,7690000761,0.14672,1128267,30
2010,30700100,Fire Dist. #1,1290004427,1.43869,1855913,30
2010,30700142,Fire Dist. #1 (LTD bond K-24 2003),274278219,0.04262,11689,30
2010,30700143,Fire Dist. #1 Excess,1551991849,0.11338,175968,30
2010,30700200,Fire Dist. #2,345968555,1.5,518953,30
2010,30700240,Fire Dist. #2 Bond,342400195,0.27,92448,30
2010,30700300,Fire Dist. #3,429541868,1.00252,430626,30
2010,30700340,Fire Dist. #3 Bond,435513046,0.21956,95622,30
2010,30700400,Fire Dist. #4,1006513025,1.5,1509770,30
2010,30700500,Fire Dist. #5,89437271,0.715,63947,30
2010,30700600,Fire Dist. #6,456019828,0.93759,427561,30
2010,30900180,Port of Benton,4466339094,0.408,1822288,30
2010,30900280,Port of Kennewick,8906532848,0.34291,3054147,30
2011,30000000,State School,13840020682,2.1478,29725664,30
2011,30100000,County General,13903637676,1.32649,18442989,30
2011,30200100,County Road,3027078081,1.67296,5064195,30
2011,30200200,County Road Diverted,3027078081,0.16344,494757,30
2011,30300100,Benton City,108047544,1.24742,134781,30
2011,30300200,Kennewick,4858964663,2.15931,10492011,30
2011,30300242,Kennewick Library Bond,4825088832,0.08311,401000,30
2011,30300300,Prosser,417262490,2.93357,1224070,30
2011,30300342,Prosser Grant Ave Fire Stn Bond,414470003,0.37759,156500,30
2011,30300400,Richland,4711097355,2.67708,12611998,30
2011,30300440,Richland - 3 Bonds,4687928967,0.33502,1570569,30
2011,30300500,West Richland,781187543,1.62806,1271817,30
2011,30401710,Kennewick #17 M&O,6006690689,3.21308,19300000,30
2011,30401730,Kennewick #17 Bond,6006690689,1.70643,10250000,30
2011,30405010,Paterson #50 M&O,358554630,0.38482,137978,30
2011,30405030,Paterson #50 Bond,358554630,0.47468,170200,30
2011,30405210,Kiona-Benton #52 M&O,466608771,4.59958,2146205,30
2011,30405230,Kiona-Benton #52 Bond,466608771,1.39732,652000,30
2011,30405310,Finley #53 M&O,378008912,3.70362,1400000,30
2011,30405330,Finley #53 Bond,378008912,1.08463,410000,30
2011,30411610,Prosser #116 M&O,985515609,3.25373,3206599,30
2011,30411630,Prosser #116 Bond,985515609,1.36591,1346122,30
2011,30420010,Grandview #200 M&O,37344862,1.62657,60744,30
2011,30420030,Grandview #200 Bond,37344862,2.36342,88262,30
2011,30440010,Richland #400 M&O,5587934885,3.09918,17318000,30
2011,30440030,Richland #400 Bond,5587934885,1.32428,7400000,30
2011,30500000,Mid-Columbia Inter Co Library,7994090288,0.39291,3140971,30
2011,30600100,Hospital Dist. Prosser,1726659305,0.38114,658091,30
2011,30600200,Hospital Dist. Kennewick Gen.,8032711972,0.14562,1169751,30
2011,30700100,Fire Dist. #1,1362285075,1.39917,1906066,30
