year,benton_county_regular_levy,benton_total_levy_all_districts,cpi,regular_levy_real_2025$,total_levy_real_2025$,regular_real_index_2016=100,total_real_index_2016=100,benton_regular_real_index_2010=100,benton_total_real_index_2010=100,benton_regular_real_index_2016=100,benton_total_real_index_2016=100,benton_regular_real_index_2020=100,benton_total_real_index_2020=100
2010,23402631,154117249,213.96683333333337,34465354.85896661,226970449.46240094,94.48957978456691,88.92992536270509,100.0,100.0,91.82496791697609,86.42209608623143,88.87562788341302,72.11501607793728
2011,24001941,160867580,221.57500000000005,34134231.893533565,228776967.65738913,94.26864992616318,90.2956646339192,99.03925850527867,100.795926605982,90.94276734768316,87.1099525424291,88.02176284764295,72.68899867780978
2012,24481604,167650427,226.22924999999998,34100099.147951916,233518040.03105658,93.85794682449314,91.85721874865688,98.9402235592544,102.8847766676958,90.85182854026979,88.9151805498607,87.93374491753988,74.19537323565869
2013,25418599,175482586,229.32433333333333,34927379.166805826,241128427.9827386,96.28267815912344,94.99659190280502,101.34054707903005,106.23780697173224,93.05592484220739,91.81293962101553,90.0670475169737,76.61341157851268
2014,26383045,184404681,232.77049999999997,35715892.52558422,249636756.02306873,98.11140630487422,98.0040381557696,103.62839051486587,109.9864570979856,95.1567363431543,95.05260163506286,92.10038273556226,79.3167512197659
2015,27036421,190254777,231.81000000000003,36752049.45095423,258623468.41633624,99.16852826346552,99.73272478930006,106.63476294193066,113.94587666760505,97.91733685977135,98.47441501997642,94.7723151066299,82.17208727898996
2016,27881384,195090841,234.076,37533751.04920112,262630113.9883615,100.0,100.0,108.902842297114,115.71114857040799,100.0,100.0,96.78808487444314,83.4451133955156
2017,28786254,200986371,239.05083333333332,37945424.86251586,264935939.18716332,100.16301822551152,99.94620425654296,110.09729920898772,116.72706284658946,101.09680967611017,100.8779744119153,97.84966595466776,84.17774013912194
2018,29618353,233841792,245.14633333333336,38071503.816210866,300580814.7575791,99.90651774932172,112.72817976069422,110.46311280414996,132.4316956103892,101.4327178925038,114.45024722903612,98.17478508425107,95.50313858171712
2019,30303447,217592230,249.22150000000002,38315196.32146464,275120154.1684445,99.72912671723658,102.3412728453257,111.17017793158293,121.21408527854189,102.08198021892126,104.755753249468,98.80319365580176,87.41355708734508
2020,31043022,251946038,252.24841666666669,38779309.558497004,314733964.9998911,100.51399152004636,116.58629662589831,112.51678596429151,138.6673753104713,103.31850261292334,119.8392523310707,100.0,100.0
2021,32051498,253948942,265.50966666666665,38039300.59919953,301391221.7640089,98.84004484129288,111.92019455833513,110.36967631657248,132.78874958298755,101.34691986776305,114.75882075631473,98.09174281924437,95.76062811146333
2022,33389240,266503727,287.98375,36534492.58198771,291608267.72797394,94.5047859370704,107.80229404037212,106.00352943263773,128.4785171015316,97.3377068923819,111.03382749965094,94.2113023618353,92.6523032644649
2023,34517293,248406102,298.9899166666667,36378493.956885725,261800364.25395638,92.46102203006396,95.09587250740783,105.55090497616446,115.34557246287042,96.92208463044093,99.68406146507559,93.80902953419078,83.1814781267878
2024,35613092,296870398,307.5520833333333,36488460.233298376,304167459.3114931,92.1290846041586,109.75679482660524,105.86996821187648,134.01192094915436,97.21506434426837,115.8159110896827,94.09259898827499,96.64271833883525
2025,36390962,313529041,315.11170000000004,36390962.0,313529041.0,91.90607798376654,113.16338191887556,105.58708055934152,138.1365026780449,96.95530284808706,119.38046107457963,93.84118081087989,99.61716111577232
