year,county_cd,total_levy,regular_levy,county
2016,1,23776674.0,13698079.0,Adams
2016,2,19014663.0,10750788.0,Asotin
2016,3,197553691.0,107658182.0,Benton
2016,4,104435710.0,62707430.0,Chelan
2016,5,74486138.0,54337504.0,Clallam
2016,6,570111164.0,313781679.0,Clark
2016,7,9322996.0,6539153.0,Columbia
2016,8,112419298.0,67834167.0,Cowlitz
2016,9,49038604.0,30481969.0,Douglas
2016,10,5825398.0,4558637.0,Ferry
2016,11,77910959.0,36840862.0,Franklin
2016,12,6129342.0,3640725.0,Garfield
2016,13,122409533.0,77323624.0,Grant
2016,14,78890598.0,45266846.0,Grays Harbor
2016,15,113934644.0,64643470.0,Island
2016,16,46611327.0,32079372.0,Jefferson
2016,17,4477713737.0,2697424901.0,King
2016,18,346211558.0,195081903.0,Kitsap
2016,19,59900839.0,37411755.0,Kittitas
2016,20,33187150.0,22683481.0,Klickitat
2016,21,79459830.0,52483166.0,Lewis
2016,22,15879684.0,9520436.0,Lincoln
2016,23,80241371.0,48518968.0,Mason
2016,24,42068008.0,26246430.0,Okanogan
2016,25,31101864.0,17704484.0,Pacific
2016,26,12591973.0,9352681.0,Pend Oreille
2016,27,1206190127.0,601607329.0,Pierce
2016,28,43719845.0,33461833.0,San Juan
2016,29,182849004.0,98264585.0,Skagit
2016,30,14302460.0,10003508.0,Skamania
2016,31,1086231234.0,565250677.0,Snohomish
2016,32,544590478.0,281217349.0,Spokane
2016,33,36702509.0,25911381.0,Stevens
2016,34,354954254.0,186883801.0,Thurston
2016,35,3785175.0,2222462.0,Wahkiakum
2016,36,70576265.0,36512485.0,Walla Walla
2016,37,284284470.0,165698782.0,Whatcom
2016,38,52121212.0,27871232.0,Whitman
2016,39,200778876.0,120385041.0,Yakima
2017,1,23809035.0,13858882.0,Adams
2017,2,19334225.0,11039955.0,Asotin
2017,3,203211072.0,111598567.0,Benton
2017,4,107387845.0,64339362.0,Chelan
2017,5,76790905.0,56101977.0,Clallam
2017,6,604481821.0,328566264.0,Clark
2017,7,9709870.0,6457865.0,Columbia
2017,8,118247467.0,72223275.0,Cowlitz
2017,9,52409995.0,32698594.0,Douglas
2017,10,5904860.0,4604671.0,Ferry
2017,11,81040462.0,37873766.0,Franklin
2017,12,6644908.0,3547681.0,Garfield
2017,13,129447033.0,78110063.0,Grant
2017,14,78731760.0,45166432.0,Grays Harbor
2017,15,115691275.0,65097735.0,Island
2017,16,49533262.0,32718375.0,Jefferson
2017,17,4834352032.0,2834262275.0,King
