county,pop2020,pop2021,pop2022,pop2023,pop2024,pop2025
Adams,20613,20900,21100,21200,21475,21550
Asotin,22285,22500,22600,22650,22725,22750
Benton,206873,209400,212300,215500,217850,219625
Chelan,79141,80000,80650,81500,82300,82900
Clallam,77155,77750,77625,78075,78550,78650
Clark,503311,513100,520900,527400,536300,542400
Columbia,3952,3950,3950,3950,3975,3950
Cowlitz,110730,111500,112350,113000,113900,114500
Douglas,42938,43550,44000,44500,45150,45450
Ferry,7178,7250,7300,7300,7350,7350
Franklin,96749,98350,99750,101100,102300,103250
Garfield,2286,2300,2300,2300,2325,2300
Grant,99123,100800,101800,103300,105300,106250
Grays Harbor,75636,76050,76400,77000,77400,77750
Island,86857,87100,87700,88150,88650,88700
Jefferson,32977,33100,33350,33425,33700,33825
King,2269675,2287050,2317700,2347800,2378100,2411700
Kitsap,275611,277700,280900,283200,286100,288900
Kittitas,46468,45225,47200,47300,48600,48950
Klickitat,22735,23000,23150,23250,23450,23600
Lewis,82149,82700,83400,84075,84950,85550
Lincoln,10876,10900,11050,11125,11300,11250
Mason,65726,65750,66200,67000,67475,67800
Okanogan,42104,42350,42700,43000,43200,43400
Pacific,23365,23425,23600,23775,23950,23950
Pend Oreille,13401,13475,13625,13725,13850,13950
Pierce,920393,928200,937400,946300,952600,959900
San Juan,17788,17850,18150,18350,18475,18550
Skagit,129523,130000,131250,132000,133300,134600
Skamania,11604,11750,11900,12000,12075,12150
Snohomish,827957,837800,847300,859800,867100,873800
Spokane,539339,542100,550700,554600,559400,566000
Stevens,46445,46725,47050,47350,47650,47800
Thurston,294793,297800,300500,303400,307000,309100
Wahkiakum,4422,4475,4525,4550,4550,4550
Walla Walla,62584,62100,62625,63100,63375,63800
Whatcom,226847,226300,231650,235800,238000,240500
Whitman,47973,44600,47800,48100,48750,49450
Yakima,256728,258100,259950,261200,263200,264650
