year,county_cd,county_regular_levy,cpi,regular_real_2025$,real_index_2016=100
2010,10,4124839,226.74566666666666,6594403.807339501,89.64527491486109
2011,10,4296494,233.09733333333335,6681660.978828872,90.8314614686405
2012,10,4368329,238.79600000000002,6631256.44972445,90.14625504201994
2013,10,4580566,241.6916666666667,6870130.715196082,93.39354620342208
2014,10,4767026,246.18616666666665,7019261.242770613,95.4208480692462
2015,10,4988319,249.59366666666665,7244829.832110057,98.48725995336314
2016,10,5179802,255.254,7356108.633279792,100.0
2017,10,5357840,263.1091666666667,7381783.316293933,100.34902533790742
2018,10,5443233,271.4096666666667,7270079.247509484,98.83050414207993
2019,10,5657069,278.18149999999997,7371752.7933108425,100.21266896413512
2020,10,6047316,282.7455,7753084.067027061,105.39654120864002
2021,10,6267821,296.875,7653330.881251706,104.04048203729958
2022,10,6330500,323.45283333333333,7094708.969313919,96.44649532793366
2023,10,6901880,341.7718333333334,7320464.986381264,99.51545513157225
2024,10,7651386,353.8923333333333,7837480.7906140955,106.54384242174628
2025,10,7910643,362.4996,7910643.0,107.53842003109413
2010,11,195554,226.74566666666666,312633.30329752713,30.081257688642488
2012,11,629867,238.79600000000002,956157.2871957653,92.0004792951841
2013,11,655701,241.6916666666667,983448.6786315897,94.62642915338381
2014,11,682159,246.18616666666665,1004452.7196006816,96.64741656013092
2015,11,713014,249.59366666666665,1035552.276811511,99.63978424647216
2016,11,731820,255.254,1039295.9846740894,100.0
2017,11,771425,263.1091666666667,1062833.5662826898,102.26476210393342
2018,11,782579,271.4096666666667,1045226.4945183725,100.57062761058803
2019,11,805653,278.18149999999997,1049850.1526478217,101.01551128161455
2020,11,860044,282.7455,1102636.8447328075,106.09459297377937
2021,11,894371,296.875,1092072.8581106525,105.07813695182449
2022,11,909212,323.45283333333333,1018970.7813613216,98.04432966041512
2023,11,928042,341.7718333333334,984325.8600397633,94.7108306541217
2024,11,1284033,353.8923333333333,1315262.8781262098,126.55325311765353
2025,11,1395899,362.4996,1395899.0,134.31197854937707
2010,20,3991875,226.74566666666666,6381833.496634261,95.20395049978518
2011,20,4140797,233.09733333333335,6439529.936769761,96.06466380945878
2012,20,4236088,238.79600000000002,6430510.584619507,95.9301134555353
2013,20,4358591,241.6916666666667,6537203.0233986825,97.52174721808817
2014,20,4454183,246.18616666666665,6558612.036122257,97.84112605939755
2015,20,4581411,249.59366666666665,6653853.349386269,99.26193236503113
2016,20,4720147,255.254,6703328.447120124,100.0
2017,20,4699609,263.1091666666667,6474903.190335063,96.59236066698782
2018,20,4824473,271.4096666666667,6443652.336299001,96.12616160957049
2019,20,4849843,278.18149999999997,6319852.857083595,94.27932566542705
2020,20,5108958,282.7455,6550043.171038266,97.71329605447407
2021,20,5334115,296.875,6513227.970876631,97.16408829221007
2022,20,5407526,323.45283333333333,6060314.858857628,90.4075476334634
2023,20,5577605,341.7718333333334,5915875.400668379,88.25280526437506
2024,20,5836302,353.8923333333333,5978250.844124531,89.18331976844878
2025,20,6018539,362.4996,6018539.0,89.78433695257284
2010,21,829917,226.74566666666666,1326793.0759420614,83.85565443787833
2011,21,909357,233.09733333333335,1414179.8365655548,89.37865130465521
2012,21,1460452,238.79600000000002,2217010.610810901,140.118967332768
2013,21,1020903,241.6916666666667,1531194.4108077094,96.77417806746902
2014,21,1040784,246.18616666666665,1532514.1489255084,96.8575878361521
2015,21,1075999,249.59366666666665,1562736.7966083542,98.76771229055582
2016,21,1114130,255.254,1582234.477610537,100.0
2017,21,1151434,263.1091666666667,1586392.331800425,100.26278369285487
2018,21,1188849,271.4096666666667,1587847.965229929,100.35478228409416
2019,21,1166499,278.18149999999997,1520070.2451471433,96.07111124532736
2020,21,1274572,282.7455,1634090.8703098723,103.27741516400577
2021,21,1462937,296.875,1786321.1025690949,112.89863341031261
2022,21,1271536,323.45283333333333,1425034.020062482,90.06465477952064
2023,21,1286673,341.7718333333334,1364707.1008800704,86.25188745356044
2024,21,1543712,353.8923333333333,1581257.7154309645,99.93826691344461
2025,21,1559188,362.4996,1559188.0,98.54342210736418
