year,group,n_counties,median_regular_real_index,median_total_real_index,median_regular_real_2016,median_total_real_2016
2016,rural_<50k,18,100.0,100.0,15701281.5,27439269.0
2016,rural_<45k,14,100.0,100.0,10377148.0,17447173.5
2016,rural_<55k,18,100.0,100.0,15701281.5,27439269.0
2017,rural_<50k,18,99.17127928906434,101.14994402331527,15582558.139534883,27346875.397796817
2017,rural_<45k,14,99.22404290368938,101.11873428529968,10408040.146878824,17502272.215422276
2017,rural_<55k,18,99.17127928906434,101.14994402331527,15582558.139534883,27346875.397796817
2018,rural_<50k,18,113.665381365554,111.27974114870143,17836179.211469535,30009246.35603345
2018,rural_<45k,14,113.665381365554,111.42053569319364,11933035.60334528,18814101.31421744
2018,rural_<55k,18,113.665381365554,111.27974114870143,17836179.211469535,30009246.35603345
2019,rural_<50k,18,110.96198634272527,100.25691274190486,17354174.736018773,27048265.1544779
2019,rural_<45k,14,110.63099339442974,99.45582830427492,11635663.66836136,15929564.958936254
2019,rural_<55k,18,110.96198634272527,100.25691274190486,17354174.736018773,27048265.1544779
2020,rural_<50k,18,121.36322532580101,109.05339525568924,19194378.361669242,29320270.942812983
2020,rural_<45k,14,121.0261989045842,108.43364802055714,12509735.239567233,17944909.891808346
2020,rural_<55k,18,121.36322532580101,109.05339525568924,19194378.361669242,29320270.942812983
2021,rural_<50k,18,121.42957147454399,109.96140387147457,19344665.53505535,28782994.09594096
2021,rural_<45k,14,120.52976414774653,109.60074923640192,12407781.697416974,18354712.029520296
2021,rural_<55k,18,121.42957147454399,109.96140387147457,19344665.53505535,28782994.09594096
2022,rural_<50k,18,116.9626535593987,104.95951466371456,18797496.549367957,28137556.542535022
2022,rural_<45k,14,116.69018740137227,104.17750650105314,11930325.794328665,17719076.187222414
2022,rural_<55k,18,116.9626535593987,104.95951466371456,18797496.549367957,28137556.542535022
2023,rural_<50k,18,116.09440925391897,102.5225668619129,19721539.21890384,28061853.495241225
2023,rural_<45k,14,116.09440925391897,102.5225668619129,11808169.34689859,17627392.320315063
2023,rural_<55k,18,116.09440925391897,102.5225668619129,19721539.21890384,28061853.495241225
2024,rural_<50k,18,118.1409925276057,104.82476191569982,20349579.725852724,29118546.25438317
2024,rural_<45k,14,118.1409925276057,104.74190219313388,12105185.718839657,17991994.38954415
2024,rural_<55k,18,118.1409925276057,104.82476191569982,20349579.725852724,29118546.25438317
2025,rural_<50k,18,124.30672624459618,109.4057527327376,20992102.264970526,29869026.49705244
2025,rural_<45k,14,124.30672624459618,108.41537003102856,12551311.57306857,19440230.468507603
2025,rural_<55k,18,124.30672624459618,109.4057527327376,20992102.264970526,29869026.49705244
