year,group,n_counties,median_regular_real_index,median_total_real_index,median_regular_real_pc_2016,median_total_real_pc_2016
2016,rural_<45k,14,100.0,100.0,781.2804405611828,1237.886826292774
2017,rural_<45k,14,99.2240429036894,101.11873428529968,779.0826536989343,1240.8875420443323
2018,rural_<45k,14,113.66538136555396,111.42053569319367,884.7882493368774,1396.6410327100257
2019,rural_<45k,14,110.63099339442975,99.45582830427492,868.1293235674091,1270.331459844845
2020,rural_<45k,14,121.0261989045842,108.43364802055714,945.7395428179306,1417.5335691382602
2021,rural_<45k,14,120.52976414774655,109.60074923640192,941.6674547761484,1380.922326244387
2022,rural_<45k,14,116.69018740137226,104.17750650105313,908.1544707340461,1342.2587361067822
2023,rural_<45k,14,116.09440925391894,102.5225668619129,925.3525193711453,1306.773625898561
2024,rural_<45k,14,118.1409925276057,104.74190219313388,923.5993039549285,1312.887009795764
2025,rural_<45k,14,124.30672624459619,108.41537003102856,986.3425200612076,1383.8604295370933
2016,rural_<50k,18,100.0,100.0,704.9486371956611,1140.241570660632
2017,rural_<50k,18,99.17127928906436,101.14994402331527,719.5550755183863,1150.3404797345413
2018,rural_<50k,18,113.66538136555396,111.27974114870145,823.9975128677706,1305.421750132808
2019,rural_<50k,18,110.96198634272528,100.25691274190487,837.3116472217534,1248.7259087356613
2020,rural_<50k,18,121.36322532580101,109.05339525568925,902.5615688226949,1378.6452904769753
2021,rural_<50k,18,121.42957147454399,109.96140387147457,907.8851607287854,1354.0478940078679
2022,rural_<50k,18,116.96265355939869,104.95951466371454,884.062556711759,1308.7200382205947
2023,rural_<50k,18,116.09440925391894,102.5225668619129,918.7013342365871,1306.0231777707158
2024,rural_<50k,18,118.1409925276057,104.82476191569981,917.856978321664,1280.4221135887092
2025,rural_<50k,18,124.30672624459619,109.4057527327376,934.4338820438222,1312.237717931438
2016,rural_<55k,18,100.0,100.0,704.9486371956611,1140.241570660632
2017,rural_<55k,18,99.17127928906436,101.14994402331527,719.5550755183863,1150.3404797345413
2018,rural_<55k,18,113.66538136555396,111.27974114870145,823.9975128677706,1305.421750132808
2019,rural_<55k,18,110.96198634272528,100.25691274190487,837.3116472217534,1248.7259087356613
2020,rural_<55k,18,121.36322532580101,109.05339525568925,902.5615688226949,1378.6452904769753
2021,rural_<55k,18,121.42957147454399,109.96140387147457,907.8851607287854,1354.0478940078679
2022,rural_<55k,18,116.96265355939869,104.95951466371454,884.062556711759,1308.7200382205947
2023,rural_<55k,18,116.09440925391894,102.5225668619129,918.7013342365871,1306.0231777707158
2024,rural_<55k,18,118.1409925276057,104.82476191569981,917.856978321664,1280.4221135887092
2025,rural_<55k,18,124.30672624459619,109.4057527327376,934.4338820438222,1312.237717931438
